Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.tddui.json	14369	-	0	0	0	0	0	0	18	63	0	0	0	0	0	0	0	0	0	0	105	122	0	0	0	3	0	0
fsh-generated/resources/Bundle-TDDUIBundleExample.json	3121	14	20	0	0	0	0	0	0	1758	0	0	0	0	0	0	0	0	0	0	26	23	0	0	1	0	0	0
fsh-generated/resources/CapabilityStatement-TDDUIConsommateur.json	1866	10	0	0	1	0	0	0	1	36	0	0	0	0	0	0	0	0	0	0	29	43	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-TDDUIProducteur.json	1857	11	0	0	0	0	1	0	0	14	0	0	0	0	0	0	0	0	0	0	28	22	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-tddui-identifier.json	663	11	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	15	4145	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-TDDUIDocumentReferenceExample.json	952	10	0	0	0	0	0	0	1	53	0	0	0	0	0	0	0	0	0	0	12	18	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-fr-core-human-name.json	1497	11	0	26	0	0	0	0	0	31	0	0	1	0	0	0	0	1	0	0	66	464	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-tddui-Encounter.json	5208	12	0	189	0	0	0	0	0	29	0	0	0	0	0	0	0	1	0	0	248	711	0	0	0	9	1	0
fsh-generated/resources/StructureDefinition-tddui-Organization.json	939	12	0	149	0	0	0	0	0	51	0	0	0	0	0	0	0	2	0	0	294	755	0	0	0	14	0	3
fsh-generated/resources/StructureDefinition-tddui-admission-date.json	1313	12	0	46	1	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	45	131	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-tddui-birth-order.json	1906	11	0	46	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	42	106	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-tddui-bundle.json	2074	11	0	156	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	202	294	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-tddui-comment.json	1246	11	0	43	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	44	60	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-tddui-documentreference.json	14607	13	0	62	0	0	0	0	0	59	0	0	0	0	0	0	0	1	0	0	291	433	0	0	0	12	0	0
fsh-generated/resources/StructureDefinition-tddui-entry-mode-label.json	1320	11	0	45	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	39	70	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-tddui-exit-mode-label.json	1314	10	0	34	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	29	55	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-tddui-patient-ins.json	4088	12	0	104	0	0	0	1	0	52	0	0	1	0	0	0	0	2	0	0	384	909	0	0	0	22	0	2
fsh-generated/resources/StructureDefinition-tddui-patient.json	5280	12	0	93	1	0	0	0	0	109	0	0	0	0	0	0	0	1	0	0	330	627	0	0	0	20	1	1
