Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.tddui.json	14666	-	0	0	0	0	0	0	17	57	0	0	0	0	0	0	0	1	0	0	104	166	0	0	0	4	0	0
fsh-generated/resources/Bundle-TDDUIBundleExample.json	3121	13	19	0	1	0	0	0	1	815	0	0	0	0	0	0	0	0	0	0	29	23	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-TDDUIConsommateur.json	1866	10	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	28	47	0	0	0	1	0	1
fsh-generated/resources/CapabilityStatement-TDDUIProducteur.json	1857	9	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	28	29	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-tddui-encounter-identifier.json	626	9	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	17	525	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-tddui-identifier.json	585	10	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	17	58	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-TDDUIDocumentReferenceExample.json	952	9	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	15	17	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-tddui-Encounter-sejour.json	6085	11	0	450	1	0	0	0	0	92	0	0	0	0	0	0	0	2	0	0	228	941	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-tddui-Organization.json	917	9	0	88	0	0	0	0	1	45	0	0	1	0	0	0	0	1	0	0	273	885	0	0	0	12	0	2
fsh-generated/resources/StructureDefinition-tddui-admission-date.json	1313	9	0	49	0	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	32	94	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-tddui-birth-order.json	1968	10	0	45	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	30	79	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-tddui-bundle.json	2074	9	0	131	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	151	297	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-tddui-comment.json	1248	9	0	44	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	41	70	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-tddui-documentreference.json	14607	12	0	64	1	0	0	0	0	108	0	0	0	0	0	0	0	1	0	0	273	494	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-tddui-entry-mode-label.json	1322	9	0	46	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	72	66	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-tddui-exit-mode-label.json	1316	9	0	31	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	28	59	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-tddui-human-name.json	1029	8	0	35	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	35	76	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-tddui-patient-ins.json	4993	10	0	62	0	0	0	0	0	71	0	0	1	0	0	0	0	2	0	0	396	751	0	0	0	16	1	1
fsh-generated/resources/StructureDefinition-tddui-patient.json	4893	10	0	43	0	0	1	0	0	51	0	0	0	0	0	0	0	1	0	0	281	515	0	0	0	13	0	1
