Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.tddui.json	15988	-	0	0	0	0	0	0	19	101	0	0	0	0	0	0	0	1	0	0	98	144	0	0	0	4	0	4
fsh-generated/resources/Bundle-TDDUIBundleExample.json	3121	12	14	0	0	0	0	0	1	839	0	0	0	0	0	0	0	0	0	0	19	25	0	0	1	0	0	0
fsh-generated/resources/CapabilityStatement-TDDUIConsommateur.json	1866	9	0	0	0	0	1	0	0	64	0	0	0	0	0	0	0	0	0	0	19	45	0	1	0	1	0	0
fsh-generated/resources/CapabilityStatement-TDDUIProducteur.json	1857	5	0	0	0	0	0	0	1	17	0	0	0	0	0	0	0	0	0	0	20	24	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-tddui-encounter-identifier.json	626	5	0	0	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	11	581	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-tddui-identifier.json	585	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	11	57	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-TDDUIDocumentReferenceExample.json	952	5	0	0	0	0	0	0	1	50	0	0	0	0	0	0	0	0	0	0	12	17	0	0	0	0	0	0
fsh-generated/resources/Encounter-tddui-encounter-sejour-example.json	1501	5	0	0	0	0	0	0	0	978	0	0	0	0	0	0	0	0	0	0	13	25	0	0	0	0	0	0
fsh-generated/resources/Organization-tddui-organization-example.json	537	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	17	0	0	0	0	0	0
fsh-generated/resources/Patient-tddui-patient-example.json	1935	6	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	27	0	0	0	0	0	1
fsh-generated/resources/Patient-tddui-patient-ins-example.json	2048	5	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	14	14	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-tddui-Encounter-sejour.json	6085	6	0	290	1	0	0	0	0	71	0	0	1	0	0	0	0	2	0	0	293	924	0	0	0	11	0	3
fsh-generated/resources/StructureDefinition-tddui-Organization.json	917	6	0	89	0	0	0	0	1	28	0	0	0	0	0	0	0	2	0	0	276	949	0	0	0	14	0	6
fsh-generated/resources/StructureDefinition-tddui-admission-date.json	1313	5	0	30	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	31	91	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-tddui-birth-order.json	1978	5	0	23	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	32	72	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-tddui-bundle.json	2074	5	0	98	1	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	155	277	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-tddui-comment.json	1248	4	0	51	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	30	69	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-tddui-documentreference.json	14607	8	0	51	0	0	0	0	0	108	0	0	0	0	0	0	0	1	0	0	236	342	0	0	0	12	0	1
fsh-generated/resources/StructureDefinition-tddui-entry-mode-label.json	1322	7	0	34	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	31	71	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-tddui-exit-mode-label.json	1316	5	0	40	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	29	58	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-tddui-human-name.json	1029	5	0	45	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	36	138	0	0	0	3	1	1
fsh-generated/resources/StructureDefinition-tddui-patient-ins.json	5013	5	0	104	1	0	0	0	0	49	0	0	1	0	0	0	0	2	0	0	372	783	0	0	0	27	0	4
fsh-generated/resources/StructureDefinition-tddui-patient.json	4913	6	0	79	0	0	0	0	0	34	0	0	0	0	0	0	0	1	0	0	282	546	0	0	0	19	0	4
