Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.tddui.json	10966	-	0	0	0	0	0	0	15	80	0	0	0	0	0	0	0	1	0	0	98	148	0	0	0	4	0	1
fsh-generated/resources/CapabilityStatement-TDDUIConsommateur.json	1866	7	0	0	0	0	0	0	1	52	0	0	0	0	0	0	0	0	0	0	30	49	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-TDDUIProducteur.json	1857	5	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	28	28	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-tddui-encounter-identifier.json	626	4	0	0	0	0	0	0	1	27	0	0	0	0	0	0	0	0	0	0	18	753	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-tddui-identifier.json	585	4	0	0	1	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	17	65	0	0	0	0	0	0
fsh-generated/resources/Encounter-tddui-encounter-sejour-example.json	1645	6	0	0	0	0	0	0	1	1026	0	0	0	0	0	0	0	0	0	0	20	34	0	0	0	0	0	0
fsh-generated/resources/Organization-tddui-organization-example.json	537	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	16	18	0	0	0	0	0	0
fsh-generated/resources/Patient-tddui-patient-example.json	1912	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	19	26	0	0	0	0	0	0
fsh-generated/resources/Patient-tddui-patient-ins-example.json	2048	5	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	21	14	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-tddui-Encounter-sejour.json	6085	6	0	336	0	0	0	1	0	124	0	0	1	0	0	0	0	2	0	0	289	1089	0	0	0	11	0	2
fsh-generated/resources/StructureDefinition-tddui-Organization.json	917	5	0	131	0	0	0	0	0	43	0	0	0	0	0	0	0	1	0	0	345	953	0	0	0	13	0	2
fsh-generated/resources/StructureDefinition-tddui-admission-date.json	1313	5	0	26	1	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	45	103	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-tddui-birth-order.json	1978	9	0	25	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	46	93	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-tddui-bundle.json	725	9	0	65	0	0	0	0	0	17	0	0	0	0	0	0	0	1	0	0	113	233	0	0	0	6	1	1
fsh-generated/resources/StructureDefinition-tddui-comment.json	1248	6	0	26	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	39	82	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-tddui-entry-mode-label.json	1322	5	0	27	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	42	81	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-tddui-exit-mode-label.json	1316	4	0	24	1	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	41	81	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-tddui-human-name.json	1029	4	0	26	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	51	112	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-tddui-patient-ins.json	5013	5	0	86	0	0	0	0	0	72	0	0	0	0	0	0	0	2	0	0	382	880	0	0	0	28	0	2
fsh-generated/resources/StructureDefinition-tddui-patient.json	4913	6	0	57	0	0	0	0	0	52	0	0	1	0	0	0	0	1	0	0	279	506	0	0	0	17	0	1
