Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.tddui.json	11275	-	0	0	0	0	0	0	14	52	0	0	0	0	0	0	0	0	0	0	99	113	0	0	0	4	0	2
fsh-generated/resources/Bundle-ExampleTDDUIBundle.json	6042	12	21	0	1	0	0	0	1	930	0	0	0	0	0	0	0	1	0	0	31	45	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-TDDUIConsommateur.json	2345	9	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	29	55	0	1	0	1	0	0
fsh-generated/resources/CapabilityStatement-TDDUIProducteur.json	2337	9	0	0	0	0	0	0	1	18	0	0	0	0	0	0	0	0	0	0	30	34	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-tddui-encounter-identifier.json	626	8	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	17	571	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-tddui-identifier.json	585	9	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	17	69	0	0	0	1	0	0
fsh-generated/resources/Encounter-tddui-encounter-sejour-example.json	1645	8	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	19	38	0	0	0	0	0	1
fsh-generated/resources/Organization-tddui-organization-example.json	537	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	16	18	0	0	0	0	0	0
fsh-generated/resources/Patient-tddui-patient-example.json	1912	9	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20	20	0	0	0	0	0	0
fsh-generated/resources/Patient-tddui-patient-ins-example.json	2048	11	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	20	17	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-tddui-admission-date.json	1313	9	0	26	0	0	0	1	0	26	0	0	0	0	0	0	0	0	0	0	39	446	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-tddui-birth-order.json	1978	8	0	35	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	40	157	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-tddui-bundle.json	4727	9	0	497	0	0	0	0	0	44	0	0	1	0	0	0	0	2	0	0	363	1191	0	0	0	19	0	4
fsh-generated/resources/StructureDefinition-tddui-comment.json	1248	9	1	45	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	39	106	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-tddui-encounter-sejour.json	8408	9	0	75	0	0	0	0	1	73	0	0	0	0	0	0	0	1	0	0	218	526	0	0	0	14	0	2
fsh-generated/resources/StructureDefinition-tddui-entry-mode-label.json	1322	8	0	53	1	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	38	105	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-tddui-exit-mode-label.json	1316	8	0	70	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	36	101	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-tddui-human-name.json	1029	7	0	46	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	42	142	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-tddui-organization.json	1748	9	0	77	0	0	0	0	0	34	0	0	0	0	0	0	0	2	0	0	272	830	0	0	0	17	1	1
fsh-generated/resources/StructureDefinition-tddui-patient-ins.json	8166	9	0	97	0	0	0	0	0	68	0	0	0	0	0	0	0	2	0	0	402	1138	0	0	0	30	0	1
fsh-generated/resources/StructureDefinition-tddui-patient.json	8737	9	0	110	1	0	0	0	0	43	0	0	1	0	0	0	0	1	0	0	342	876	0	0	0	22	0	1
