Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.tddui.json	4629	-	0	0	0	0	0	0	4	733	0	0	0	0	0	0	0	0	0	0	125	158	0	0	0	2	0	1
fsh-generated/resources/ValueSet-TypeCarteVS.json	415	12	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	7	7131	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-fr-patient.json	2601	147	0	0	0	0	0	2094	0	2025	0	0	1	0	0	0	0	4	0	0	433	3091	0	0	0	24	0	1
fsh-generated/resources/CodeSystem-competence-code-system.json	6319	23	0	0	0	0	0	0	1	22	0	0	0	0	0	0	0	0	0	0	38	78	0	0	0	3	0	0
fsh-generated/resources/ValueSet-MeltingPotVS.json	878	11	0	0	0	0	0	0	0	220	0	0	0	0	0	0	0	0	0	0	10	133	0	0	0	1	0	0
fsh-generated/resources/Patient-frpatient-exemple.json	452	11	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	5	13	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ModifiedAdministrativeGender.json	645	10	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	6	57	0	1	0	0	0	0
fsh-generated/resources/ValueSet-EyeColorVS.json	668	10	1	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	7	132	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-type-carte-code-system.json	1007	10	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	96	47	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EyeColor.json	1427	117	0	0	0	0	0	269	0	283	0	0	0	0	0	0	0	0	0	0	50	267	0	0	0	7	0	1
