Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.tddui.json	5362	-	0	0	0	0	0	0	4	767	0	0	0	0	0	0	0	1	0	0	134	182	0	0	0	2	0	0
fsh-generated/resources/ValueSet-TypeCarteVS.json	415	10	1	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	6	6214	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-fr-patient.json	2601	146	0	0	0	0	0	2152	0	2032	0	0	1	0	0	0	0	1	0	0	393	3283	0	0	0	25	1	2
fsh-generated/resources/CodeSystem-competence-code-system.json	6319	22	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	35	101	0	0	0	2	0	0
fsh-generated/resources/ValueSet-MeltingPotVS.json	878	9	0	0	0	0	0	0	0	306	0	0	0	0	0	0	0	1	0	0	8	206	0	1	0	0	0	0
fsh-generated/resources/Patient-frpatient-exemple.json	452	9	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	4	11	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ModifiedAdministrativeGender.json	645	9	0	0	0	0	0	0	1	97	0	0	0	0	0	0	0	0	0	0	6	45	0	0	0	0	0	0
fsh-generated/resources/ValueSet-EyeColorVS.json	668	9	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	7	151	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-type-carte-code-system.json	1007	12	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	7	48	0	0	0	0	0	1
fsh-generated/resources/StructureDefinition-EyeColor.json	1427	118	0	0	0	0	0	279	0	308	0	0	0	0	0	0	0	0	0	0	41	248	0	0	0	2	0	0
